player,team,position,most_common_pos,notes
Tylar Young,WCE,KeyD,FB,
Willem Duursma,WCE,SmF,HFFR,
Brandon Zerk-Thatcher,ADE,KeyD,,
Brodie Smith,ADE,GenD,,
Harry Rowston,GWS,InsM,,
Jake Soligo,ADE,FwdMid,,
Max Michalanney,ADE,KeyD,,
Mitchell Hinge,ADE,GenD,,
Reilly O'Brien,ADE,Ruck,,
Archer May,BRL,KeyD,,
Brandon Starcevich,BRL,GenD,,
Callum Ah Chee,BRL,MedF,,
Eric Hipwood,BRL,KeyF,,
Jed Walter,BRL,KeyF,,
Max Kondogiannis,BRL,MedF,,
Will Setterfield,BRL,InsM,,
Adam Cerra,CAR,InsM,,
George Hewett,CAR,InsM,,
Jack Buller,CAR,Ruck,,
Jesse Motlop,CAR,SmF,,
Luke Trainor,CAR,KeyD,,
Matthew Owies,CAR,SmF,,
Sam Docherty,CAR,GenD,,
Tim Kelly,CAR,InsM,,
Angus Hastie,COL,Wing,,
Darcy Moore,COL,KeyD,,
Jeremy Howe,COL,KeyD,,
Lachie Shultz,COL,SmF,,
Mark Keane,COL,KeyD,,
Scott Pendlebury,COL,InsM,,
Will Hoskin-Elliott,COL,SmF,,
Archie Perkins,ESS,FwdMid,,
Ben Hobbs,ESS,InsM,,
Jordan Ridley,ESS,KeyD,,
Luke Cleary,ESS,GenD,,
Matt Guelfi,ESS,SmF,,
Nic Martin,ESS,InsM,,
Bailey Banfield,FRE,MedF,,
Brennan Cox,FRE,KeyD,,
Liam Henry,FRE,Wing,,
Luamon Lual,FRE,InsM,,
Mani Liddy,PTA,GenD,,
Nathan O'Driscoll,FRE,InsM,,
Sean Darcy,FRE,Ruck,,
Ben Long,GCS,SmF,,
Calsher Dear,HAW,KeyF,,
David Swallow,GCS,InsM,,
Jack Bowes,GCS,GenD,,
Jacob Newton,WCE,InsM,,
Jeremy Sharp,MEL,Wing,,
Jhye Clark,GCS,InsM,,
Matt Rowell,GCS,InsM,,
Milan Murdock,GCS,GenD,,
Steely Green,RIC,SmF,,
Xavier Lindsay,MEL,GenD,,
Gryan Miers,GEE,SmF,,
Lachie Fogarty,GEE,SmF,,
Rhys Stanley,GEE,Ruck,,
Riley Hardeman,NTH,GenD,,
Sandy Brock,WCE,InsM,,
Tyson Stengle,GEE,SmF,,
Aaron Cadman,GWS,KeyF,,
Alixzander Tauru,GWS,InsM,,
Clay Hall,GWS,InsM,,
Darcy Jones,GWS,InsM,,
Elijah Hewett,GWS,InsM,,
Harry Himmelberg,GWS,KeyD,,
Harry O'Farrell,GWS,KeyD,,
James Peatling,GWS,InsM,,
Josh Kelly,GWS,InsM,,
Kieran Briggs,GWS,Ruck,,
Nick Haynes,GWS,KeyD,,
Riley Garcia,WBD,InsM,,
Sam Taylor,GWS,KeyD,,
Tom Brown,GWS,InsM,,
Tom Green,GWS,InsM,,
Conor Nash,HAW,InsM,,
Hunter Clark,HAW,InsM,,
Jack Scrimshaw,HAW,KeyD,,
Jaeger O'Meara,HAW,InsM,,
James Worpel,HAW,InsM,,
Latrelle Pickett,HAW,SmF,,
Michael Frederick,HAW,SmF,,
Tom Mitchell,HAW,InsM,,
Tyler Brockman,HAW,SmF,,
Angus Clarke,MEL,Ruck,,
Charlie Spargo,MEL,SmF,,
Jack Viney,MEL,InsM,,
Jake Bowey,MEL,GenD,,
Jake Melksham,MEL,MedF,,
Jayden Hunt,MEL,Wing,,
Steven May,MEL,KeyD,,
Toby Bedford,MEL,SmF,,
Tom McDonald,MEL,KeyF,,
Caiden Cleary,NTH,GenD,,
Colby McKercher,NTH,InsM,,
Cooper Harvey,NTH,InsM,,
George Wardlaw,NTH,InsM,,
Harry Sharp,MEL,InsM,,
Jed McEntee,NTH,MedF,,Tall-ish forward but not classic KeyF
Luke McDonald,NTH,KeyD,,
Michael Sellwood,NTH,MedF,,
Todd Goldstein,NTH,Ruck,,
Tyrell Dewar,NTH,InsM,,
Will Phillips,NTH,InsM,,
Zeke Uwland,NTH,InsM,,
Angus Sheldrick,PTA,InsM,,
Lachlan Sullivan,PTA,InsM,,
Ollie Wines,PTA,InsM,,
Orazio Fantasia,PTA,SmF,,
Paul Curtin,PTA,InsM,,
Sam Powell-Pepper,PTA,InsM,,
Travis Boak,PTA,InsM,,
Kamdyn McIntosh,RIC,GenD,,
Ryan Maric,WCE,GenD,,REVIEW
Taj Hotton,RIC,SmF,,
Dan Butler,STK,SmF,,
Jimmy Webster,STK,KeyD,,
Ryan Byrnes,STK,SmF,,
Braeden Campbell,SYD,InsM,,
Harry Cunningham,SYD,GenD,,
Hayden McLean,SYD,KeyF,,
Leek Aleer,SYD,InsM,,
Jack Macrae,WBD,InsM,,
Jack Watkins,PTA,SmF,,REVIEW
Jason Johannisen,WBD,Wing,,
Joel Hamling,WBD,KeyD,,
Lachlan McNeil,WBD,SmF,,
Laitham Vandermeer,WBD,Wing,,
Matthew Carroll,WBD,SmF,,
Bailey J. Williams,WCE,Ruck,,
Blake Acres,WCE,FwdMid,,
Daniel Curtin,WCE,KeyD,,
Hugh Jackson,WCE,Ruck,,
Jack Darling,WCE,KeyF,,
Jack Williams,WCE,KeyD,,
Tom Cole,WCE,Wing,,
Willie Rioli,WCE,SmF,,
Zane Duursma,WCE,SmF,,
Alex Davies,GCS,InsM,,
Jade Gresham,ESS,SmF,,
Josh Sinn,PTA,GenD,,
Lachlan Cowan,CAR,GenD,,
Sam Marshall,RIC,GenD,,
Thomas Sims,RIC,InsM,,
Aidan Corr,NTH,GenF,FPL,AUTO: review position
Archer Day-Wicks,ESS,GenF,HFFR,AUTO: review position
Campbell Gray,RIC,Ruck,RK,AUTO: review position
Dougal Howard,STK,GenD,BPR,AUTO: review position
Hudson O'Keeffe,CAR,KeyF,CHF,AUTO: review position
Jasper Alger,RIC,KeyF,FF,AUTO: review position
Josh Lai,PTA,GenD,HBFR,AUTO: review position
Keidean Coleman,BRL,GenD,BPL,AUTO: review position
Oliver Hannaford,GWS,GenF,FPR,AUTO: review position
Oliver Henry,GEE,GenF,FPR,AUTO: review position
Oliver Wiltshire,GEE,GenF,HFFR,AUTO: review position
Oscar Steene,COL,Ruck,RK,AUTO: review position
Sam Draper,BRL,Ruck,RK,AUTO: review position
Talor Byrne,CAR,GenF,FPL,AUTO: review position
Tyler Sonsie,RIC,Wing,WR,AUTO: review position
Callum Coleman-Jones,NTH,Ruck,RK,AUTO: review position
Cooper Duff-Tytler,WCE,GenF,FPL,AUTO: review position
Darragh Joyce,BRL,KeyD,FB,AUTO: review position
Finnbar Maley,ADE,GenF,FPR,AUTO: review position
Flynn Perez,HAW,Wing,WR,AUTO: review position
Harry Schoenberg,WCE,GenF,HFFR,AUTO: review position
Jack Dalton,HAW,InsM,C,AUTO: review position
